col1,RA,Dec,isStageOne,isStageTwo,isStageThree,isStageFour
481,158.7781857,51.9178847,false,false,false,false
482,158.787614,51.9194509,false,false,false,false
483,158.7640058,51.9203646,false,false,false,false
484,158.7886061,51.948669,false,false,false,false
485,158.72591530000005,51.9479067,false,false,false,false
486,158.75153280000004,51.9504743,false,false,false,false
487,158.74257350000005,51.9513193,false,false,false,false
488,158.81365680000005,51.9527308,false,false,false,false
489,158.7843221,51.9537859,false,false,false,false
490,158.8112021,51.954463200000006,false,false,false,false
491,158.7849831,51.95517,false,false,false,false
492,158.8154237,51.9552552,false,false,false,false
493,158.7470195,51.9567825,false,false,false,false
494,158.8177507,51.960628,false,false,false,false
495,158.7469784,51.9604659,false,false,false,false
496,158.82062109999995,51.9603268,false,false,false,false
497,158.7578569,51.9630823,false,false,false,false
498,158.7314603,51.9657655,false,false,false,false
499,158.75781740000005,51.9758751,false,false,false,false
500,158.7720632,51.9753571,false,false,false,false
501,158.7376091,51.9719312,false,false,false,false
502,158.7545625,51.9788484,false,false,false,false
503,338.1735375,31.1897177,false,false,false,false
504,79.7699662,-28.488305600000004,false,false,false,false
505,79.75327349999998,-28.4482679,false,false,false,false
506,53.2640595,-27.8850006,false,false,false,false
507,53.22287040000001,-27.8716289,false,false,false,false
508,187.7195027,12.2809163,false,false,false,false
509,187.7245957,12.2855551,false,false,false,false
510,53.35580329999999,-27.8403641,false,false,false,false
511,53.3984407,-27.8138162,false,false,false,false
512,247.7768587,12.7765532,false,false,false,false
513,247.7926633,12.7789511,false,false,false,false
514,247.7907447,12.7896908,false,false,false,false
515,247.80979700000003,12.7902526,false,false,false,false
516,247.7798941,12.7905225,false,false,false,false
517,247.7850821,12.8070248,false,false,false,false
518,53.16444,-27.7445155,false,false,false,false
519,218.8631398,57.27503220000001,false,false,false,false
520,218.85496630000003,57.27324920000001,false,false,false,false
521,218.7825351,57.24262829999999,false,false,false,false
522,28.273899199999995,-13.9700824,false,false,false,false
523,28.3253414,-13.961194400000002,false,false,false,false
524,28.2744825,-13.957461300000002,false,false,false,false
525,28.308097,-13.9569335,false,false,false,false
526,28.2821396,-13.9567921,false,false,false,false
527,28.2795975,-13.9558116,false,false,false,false
