col1,SourceID,RA,Dec,Stage 1,Stage 2,Stage 3,Stage 4
20444,6000320121066,130.3737127,38.3898148,false,false,false,true
20445,6000320129768,337.1904328,-9.7439471,true,false,false,false
20446,6000320703493,197.8798847,-1.3173868999999998,true,false,false,false
20447,6000322363510,53.14936700000001,-27.823945,true,false,false,false
20448,6000322580471,53.16788320000001,-27.7928812,false,true,false,false
20449,6000322580753,53.1551836,-27.769694,true,false,false,false
20450,6000324335109,214.7084383,52.7095772,false,false,false,true
20451,6000324335140,214.6999133,52.708202,false,false,false,true
20452,6000324562661,19.0377244,14.4084159,false,false,false,true
20453,6000324647543,150.1159216,2.4164226,false,false,false,true
20454,6000324647810,150.1176092,2.3877595,true,false,false,false
20455,6000324702991,186.7570878,33.4503542,false,false,true,false
20456,6000324703061,186.7745652,33.4446847,false,false,true,false
20457,6000325450961,351.86690810000016,-2.0956688000000003,false,false,false,true
20458,6000325451161,351.8491695,-2.0822694,false,true,false,false
20459,6000325451242,351.8605487,-2.0551835,false,true,false,false
20460,6000325451362,351.8604164,-2.0765143,true,false,false,false
20461,6000325826111,202.1163953,33.578763,false,false,false,true
20462,6000325826121,202.1158819,33.5789595,false,false,false,false
20463,6000325917583,53.1315919,-27.8346061,false,false,false,true
20464,6000326018856,168.9642585,1.5051655000000002,true,false,false,false
20465,6000326832605,149.8056913,2.2534327000000003,true,false,false,false
20466,6000327277479,53.05197929999999,-27.8102372,true,false,false,false
20467,6000327277683,53.04296779999999,-27.7989446,false,true,false,false
20468,6000327769404,72.9742287,0.123345,true,false,false,false
20469,6000328013935,53.0859034,-27.7875828,true,false,false,false
20470,6000329174018,243.4273628,-60.8538765,true,false,false,false
20471,6000330062157,215.07071690000004,52.9265129,true,false,false,false
20472,6000330249400,12.2882985,42.7287845,true,false,false,false
20473,6000330255538,53.16182420000001,-27.8053618,true,false,false,false
20474,6000330446045,90.0462956,-43.909195,false,false,false,true
20475,6000330446301,90.0752191,-43.8889757,true,false,false,false
20476,6000331341809,197.87720980000003,-1.3261221,false,true,false,false
20477,6000331475231,62.2086429,-24.3262035,false,false,true,false
20478,6000331475278,62.2170267,-24.320269600000003,false,false,true,false
20479,6000331475445,62.1957583,-24.3011358,false,false,true,false
20480,6000331475667,62.22773760000001,-24.295613,false,false,true,false
20481,6000331475679,62.2026119,-24.2937369,false,false,false,true
20482,6000331552034,238.00154730000003,-2.1412777000000003,true,false,false,false
20483,6000331552102,237.9996405,-2.113476,false,false,false,true
20484,6000331552219,237.97813650000003,-2.1313978,false,false,false,true
20485,6000331552260,238.0142208,-2.13451,false,false,false,true
20486,6000332072883,189.1733736,62.1922834,false,false,false,true
20487,6000332073185,189.159351,62.1878019,false,false,true,false
20488,6000332140379,9.2845157,9.1643369,false,true,false,false
20489,6000332141121,9.290722099999998,9.1733412,true,false,false,false
20490,6000332142755,9.270841699999998,9.1747791,false,false,false,true
20491,6000333680668,179.3403783,33.5993061,true,false,false,false
20492,6000333680885,179.3314406,33.6067721,true,false,false,false
