col1,SourceID,RA,Dec,s1,s2,s3,s4
9313,4001027728712,221.1802259,-0.2205744999999999,true,false,false,false
9314,4001027728741,221.1398545,-0.21879,false,true,false,false
9315,4001027804078,176.2022467,19.6702464,true,false,false,false
9316,4001027804235,176.2202948,19.6800574,false,false,true,false
9317,4001027804326,176.1854688,19.6852512,true,false,false,false
9318,4001027804407,176.1773144,19.6901589,false,false,false,true
9319,4001027804480,176.2283512,19.6949628,true,false,false,false
9320,4001027804913,176.2035135,19.7149965,true,false,false,false
9321,4001027810592,212.0700884,55.2301755,false,false,false,true
9322,4001027810818,212.0692217,55.23027070000001,false,false,false,false
9323,4001027811005,212.0697378,55.2298554,false,false,false,false
9324,4001027883346,189.0129793,26.1201292,false,false,true,false
9325,4001027887937,188.9986512,26.0870871,false,false,true,false
9326,4001027888864,188.9971231,26.0967019,false,false,true,false
9327,4001027889036,188.9986731,26.1004132,true,false,false,false
9328,4001027889389,188.9528152,26.1058556,false,true,false,false
9329,4001027889840,188.9771254,26.1122751,false,false,true,false
9330,4001028226292,202.7428216,54.91973470000001,false,false,true,false
9331,4001028375139,150.40727119999997,2.5712386,true,false,false,false
9332,4001028375147,150.37795469999998,2.5686479,false,false,false,true
9333,4001028375224,150.4249611,2.5729337,false,false,true,false
9334,4001028375281,150.4149885,2.576666,false,false,false,true
9335,4001028375443,150.42302800000004,2.5831217,false,false,false,true
9336,4001028375537,150.3772086,2.5846182,false,false,true,false
9337,4001028375563,150.4215765,2.5858663,false,false,true,false
9338,4001028375597,150.3834906,2.5869767999999995,false,false,true,false
9339,4001028375693,150.3893855,2.5928016,true,false,false,false
9340,4001028375746,150.3963426,2.592439,false,false,false,true
9341,4001028375789,150.4260236,2.5941336,true,false,false,false
9342,4001028375839,150.41590530000005,2.5971202,true,false,false,false
9343,4001028380894,181.5450507,-8.8028099,false,true,false,false
9344,4001028381147,181.5777168,-8.796370199999998,true,false,false,false
9345,4001028381162,181.5466787,-8.795691699999999,false,false,true,false
9346,4001028895751,150.13445780000004,2.0194054,false,true,false,false
9347,4001028896130,150.1550239,2.0503672,false,true,false,false
9348,4001028896132,150.1552897,2.0506275,false,true,false,false
9349,4001028896162,150.1225966,2.0528722,false,false,false,true
9350,4001028896233,150.15163950000004,2.0555935,false,true,false,false
9351,4001028896275,150.1287955,2.0577305,false,true,false,false
9352,4001028896392,150.1188495,2.0628574,false,false,true,false
9353,4001028896412,150.1472521,2.063913,true,false,false,false
9354,4001028896413,150.145852,2.0639543,false,false,false,true
9355,4001028896472,150.156424,2.0674496,false,false,true,false
9356,4001028896538,150.13859680000004,2.0711888,false,false,false,true
9357,4001028896766,64.0115154,-24.1041841,false,false,false,true
9358,4001029198221,150.05032749999995,1.7222262,true,false,false,false
9359,4001029443886,149.519334,2.0732143,false,true,false,false
9360,4001029444428,149.52932130000005,2.0928442,false,true,false,false
9361,4001029444863,149.49633290000003,2.1090829,true,false,false,false
9362,4001029451482,53.0650509,-27.9674562,false,true,false,false
9363,4001029451737,53.0541091,-27.9539585,false,true,false,false
9364,4001029507256,189.0866725,62.1199603,true,false,false,false
9365,4001029844730,189.1721576,62.1946638,false,true,false,false
9366,4001029988363,215.0567525,52.8985198,true,false,false,false
9367,4001029988442,215.0234711,52.9047331,false,false,true,false
9368,4001029988485,215.0454777,52.90942220000001,false,false,true,false
9369,4001030286813,150.3158211,1.6125714,false,false,true,false
9370,4001030287171,150.3301122,1.6292,false,true,false,false
9371,4001030287188,150.3627749,1.6296718,false,true,false,false
9372,4001030287262,150.3467165,1.6330133999999998,false,false,false,true
9373,4001030287325,150.3232128,1.6353861,false,false,true,false
9374,4001030287349,150.3706179,1.6353055,false,false,true,false
9375,4001030287524,150.32536230000005,1.6420811999999998,true,false,false,false
9376,4001030287685,150.3300738,1.6483611,false,true,false,false
9377,4001030541927,188.3874009,9.1809224,false,false,true,false
9378,4001030541928,188.443025,9.1817702,false,true,false,false
9379,4001030543236,188.4047074,9.1985493,false,false,true,false
9380,4001030544742,214.8555326,52.8261402,false,false,false,true
9381,4001030548210,53.07813270000001,-27.8577531,true,false,false,false
9382,4001031057629,265.0279192,69.0731096,false,false,true,false
9383,4001031058034,265.0511414,69.09530500000001,true,false,false,false
9384,4001031058067,265.0324202,69.09791729999999,false,false,false,true
9385,4001031058068,265.11192900000003,69.0969072,false,true,false,false
9386,4001031058111,265.0978153,69.1017374,true,false,false,false
9387,4001031058326,265.0428653,69.1278976,true,false,false,false
9388,4001031058446,265.0456944,69.12609880000001,true,false,false,false
9389,4001031058470,265.09404720000003,69.120964,false,false,true,false
9390,4001031060201,200.2012937,-42.6044788,true,false,false,false
9391,4001031060851,200.20585480000005,-42.5835166,true,false,false,false
9392,4001031060856,200.2225593,-42.5832908,true,false,false,false
9393,4001031061268,200.1628869,-42.56556120000001,true,false,false,false
9394,4001031072794,184.469635,37.7182471,false,false,false,true
9395,4001031073230,184.4465372,37.7385771,false,false,true,false
9396,4001031073745,53.2485039,-27.8121588,false,false,false,true
9397,4001031298066,149.4672678,2.5265256000000003,false,true,false,false
9398,4001031298473,149.48950109999996,2.5441538,false,false,true,false
9399,4001031480858,219.52794900000004,34.143975299999994,true,false,false,false
9400,4001031480907,219.5226141,34.1536281,false,false,false,true
9401,4001031481073,219.5060412,34.1622024,false,true,false,false
9402,4001031481132,219.5007655,34.1661929,true,false,false,false
9403,4001031481197,219.5183991,34.1700125,false,false,false,true
9404,4001031481327,219.5438393,34.1781628,true,false,false,false
9405,4001031481330,219.541368,34.1782467,false,false,true,false
9406,4001031481355,219.5554152,34.179525,false,true,false,false
9407,4001031481509,219.531348,34.195276,false,false,false,true
9408,4001031483845,28.1380749,-14.1286385,false,false,false,true
9409,4001031484037,28.14001720000001,-14.1181228,false,false,false,true
9410,4001031484223,28.1654648,-14.1114462,false,false,true,false
9411,4001031484376,28.1690286,-14.105387099999998,false,false,false,true
9412,4001031484380,28.168991100000003,-14.1055687,false,false,false,false
